genre,avg,n,sd
sad,32.0,1,
house,29.5,2,14.849242404917497
pop,22.454545454545453,11,16.33623969194647
soul,20.0,1,
reggae,16.5,2,14.849242404917497
edm,12.75,4,10.07885575516057
dance,10.5,16,9.165151389911678
electro,9.833333333333334,6,4.9564772436345015
latino,9.214285714285714,14,6.2039512400575
indie-pop,9.0,1,
hip-hop,7.2,5,4.147288270665545
k-pop,6.857142857142857,7,6.51737604225738
latin,5.5,2,3.5355339059327378
disco,5.0,1,
country,1.0,1,
