track_id,track_name,artist_name,main_artist,canonical_title,release_date,popularity
7C1trmcQQ5n5RNy4l6ziCv,some say - felix jaehn remix,nea,nea,some say felix jaehn remix,2020-01-10,79
0JAZWvvqttGFm4UMDsPQXC,despeinada,ozuna,ozuna,despeinada,2020-09-04,78
1mohfLaTJtB2RplHLQVM70,la jeepeta - remix,nio garcia,nio garcia,la jeepeta remix,2020-04-24,78
3lCbsHaN1wCxyDzcNN2x4N,si me tomo una cerveza,migrantes,migrantes,si me tomo una cerveza,2020-11-07,78
3nS9a01VvXHQriLqJYwRqG,dollaz on my head (feat. young thug),gunna,gunna,dollaz on my head,2020-05-22,78
4lsHZ92XCFOQfzJFBTluk8,you got it,vedo,vedo,you got it,2020-03-27,78
4w47S36wQGBhGg073q3nt7,tkn (feat. travis scott),rosalía,rosalia,tkn,2020-05-28,78
7CFfqRW50ffULvBv7lfIIg,violent,carolesdaughter,carolesdaughter,violent,2020-11-23,78
7aGyRfJWtLqgJaZoG9lJhE,mad at disney,salem ilese,salem ilese,mad at disney,2020-07-24,78
1j3SdMJfeRJXycCp50boYE,yucky blucky fruitcake,iamdoechii,iamdoechii,yucky blucky fruitcake,2020-11-27,77
3JHpk0DOTOzyh0777JFAky,diosa,myke towers,myke towers,diosa,2020-01-24,77
3aA6xB0tOilDDX17fIJ0Bl,freak,doja cat,doja cat,freak,2020-08-07,77
3jRHehB5ulTMKfK5WaqDqc,what’s new,megan thee stallion,megan thee stallion,what s new,2020-11-20,77
3rchFjeKZ0bJxO7EEdM3S5,paparazzi,kim dracula,kim dracula,paparazzi,2020-12-11,77
50ZC4PM7hywH27RcCfViau,elegí (feat. dímelo flow),rauw alejandro,rauw alejandro,elegi,2020-03-26,77
55CHeLEfn5iJ0IIkgaa4si,savage,megan thee stallion,megan thee stallion,savage,2020-03-06,77
56uXDJRCuoS7abX3SkzHKQ,myron,lil uzi vert,lil uzi vert,myron,2020-03-13,77
7Bar1kLTmsRmH6FCKKMEyU,hit different,sza,sza,hit different,2020-09-04,77
0Snbzbd74RLfL0i4nn1vU5,favorito,camilo,camilo,favorito,2020-03-26,76
1dIWPXMX4kRHj6Dt2DStUQ,chosen (feat. ty dolla $ign),blxst,blxst,chosen,2020-12-04,76
2rRJrJEo19S2J82BDsQ3F7,falling,trevor daniel,trevor daniel,falling,2020-03-26,76
4Hpib09wXgD84w4uwTPnYD,tap in,saweetie,saweetie,tap in,2020-06-17,76
4W8sUeokQKfHt1uTXp0Jq0,broken,lund,lund,broken,2020-04-17,76
4Z5FyQlevoHoa5FsIVKZju,practice,dababy,dababy,practice,2020-08-04,76
4cSSL3YafYjM3yjgFO1vJg,walk em down (feat. roddy ricch),roddy ricch,roddy ricch,walk em down,2020-03-19,76
