track_id,track_name,artist_name,main_artist,canonical_title,track_genre,popularity
22I3h5AOENlH4CqXJsEbFR,collide (feat. tyga),justine skye;tyga,justine skye,collide,alternative,75
23oYG6HAbahMQEtjk0M7GK,narcissist,lauren spencer smith,lauren spencer smith,narcissist,singer-songwriter,75
285HeuLxsngjFn4GGegGNm,"hey mama (feat. nicki minaj, bebe rexha & afrojack)",david guetta;afrojack;bebe rexha;nicki minaj,david guetta,hey mama,dance,75
28IEbk5a7twNTbUEvWslUb,paralyzer,finger eleven,finger eleven,paralyzer,grunge,75
2Co0IjcLTSHMtodwD4gzfg,i bet on losing dogs,mitski,mitski,i bet on losing dogs,indie-pop,75
2Fs18NaCDuluPG1DHGw1XG,life is a highway,rascal flatts,rascal flatts,life is a highway,country,75
2R6UrJ8uWbSIiHWmvRQvN8,whiskey in the jar,metallica,metallica,whiskey in the jar,hard-rock,75
2Sh4sAOfnSHEVKFyysxzat,can't remember to forget you (feat. rihanna),shakira;rihanna,shakira,can t remember to forget you,latin,75
2T3jgoAMbBXiMMD8pSc6QL,this is the life,amy macdonald,amy macdonald,this is the life,singer-songwriter,75
2VlLbhGLVJgdOW7kKdWWFc,six feet under,billie eilish,billie eilish,six feet under,electro,75
2a1iMaoWQ5MnvLFBDv4qkf,high and dry,radiohead,radiohead,high and dry,alt-rock,75
2awKQgW88iq9jFM54VaCAp,el sol no regresa,la quinta estacion,la quinta estacion,el sol no regresa,spanish,75
2dCmGcEOQrMQhMMS8Vj7Ca,super freak,rick james,rick james,super freak,disco,75
2fGRJzoiYJYAzlQAyBONMb,morning sex,ralph castelli,ralph castelli,morning sex,indie-pop,75
2hhFpD32iXUd4GaCu6T4wn,everyday normal guy 2,jon lajoie,jon lajoie,everyday normal guy 2,comedy,75
2lNTHWu2I5Tcz9ukWsV5Jj,next thing you know,jordan davis,jordan davis,next thing you know,country,75
2lnzGkdtDj5mtlcOW2yRtG,"whenever, wherever",shakira,shakira,whenever wherever,latin,75
2oBMZYteeO8DyXV9gDx6Za,feel my rhythm,red velvet,red velvet,feel my rhythm,k-pop,75
2oejEp50ZzPuQTQ6v54Evp,call you mine,the chainsmokers;bebe rexha,the chainsmokers,call you mine,dance,75
2pPO9YecZimmuVQfIzfV6U,wasted love (feat. lagique),ofenbach;lagique,ofenbach,wasted love,edm,75
2pUpNOgJBIBCcjyQZQ00qU,let her go,passenger,passenger,let her go,folk,75
2qhASBzpbFhPRtrnZ5lLnz,unchained melody,the righteous brothers,the righteous brothers,unchained melody,r-n-b,75
2t16D9V5FmmRAJjsSpwvZf,when i r.i.p.,labrinth,labrinth,when i r i p,indie-pop,75
2u54HNQamwFuOMLSuhSRom,blood sweat & tears,bts,bts,blood sweat tears,k-pop,75
2uMNMcjjUz8oNIxjIu20qE,habit,sekai no owari,sekai no owari,habit,anime,75
2wSAWEYUHkt92X4SBAPqZE,karma chameleon - remastered 2002,culture club,culture club,karma chameleon,disco,75
2yZax79pOrYuyIFVW2cZY2,carry on,xxxtentacion,xxxtentacion,carry on,emo,75
30096a5EMOSaF9c2aSa4TH,ele te bota soca soca,mc mazzie;mc rd;dj npcsize;dj wizard,mc mazzie,ele te bota soca soca,funk,75
37YoRLUu1qId0ewavgvnkG,blue flame,le sserafim,le sserafim,blue flame,k-pop,75
37sINbJZcFdHFAsVNsPq1i,superheroes,the script,the script,superheroes,rock,75
39cmB3ZoTOLwOTq7tMNqKa,hear me now,alok;zeeba;bruno martini,alok,hear me now,house,75
3CQDFLetMMxD5hzAnUk410,shorty que te vaya bn <3,rels b,rels b,shorty que te vaya bn 3,spanish,75
3CYH422oy1cZNoo0GTG1TK,psycho,red velvet,red velvet,psycho,k-pop,75
3DQVgcqaP3iSMbaKsd57l5,i bet you look good on the dancefloor,arctic monkeys,arctic monkeys,i bet you look good on the dancefloor,garage,75
3EGW6TGGbdk6Ys1Y3HU3lj,training wheels,melanie martinez,melanie martinez,training wheels,electro,75
3HsFSrIsbO54TFDfG66pZm,by the sword,iamjakehill,iamjakehill,by the sword,emo,75
3MrWxJaD2AT0W9DjWF64Vm,come on eileen,dexys midnight runners,dexys midnight runners,come on eileen,ska,75
3NfxSdJnVdon1axzloJgba,i say a little prayer,aretha franklin,aretha franklin,i say a little prayer,blues,75
3QK2bbLCTGoFXFt64e5TBY,2 die 4,tove lo,tove lo,2 die 4,swedish,75
3SFXsFpeGmBTtQvKiwYMDA,pretty fly (for a white guy),the offspring,the offspring,pretty fly,punk-rock,75
3VvA1wSxukMLsvXoXtlwWx,hecha pa' mi,boza,boza,hecha pa mi,latino,75
3g0mEQx3NTanacLseoP0Gw,takeaway,the chainsmokers;illenium;lennon stella,the chainsmokers,takeaway,dance,75
3jDdpx9PMlfMBS5tOBHFm9,return of the mack,mark morrison,mark morrison,return of the mack,british,75
3jTWd38NseaNnSuIK2Ybsp,4am,jbee,jbee,4am,chill,75
3lIxtCaROdRDuTnNBDm3n2,she's my collar (feat. kali uchis),gorillaz;kali uchis,gorillaz,she s my collar,alternative,75
3lUOzabhWYyRImRszpJGOU,chainsaw blood,vaundy,vaundy,chainsaw blood,soul,75
3lrNsPdn98i6rxO142pLT6,o.o,nmixx,nmixx,o o,k-pop,75
