track_id,track_name,artist_name,track_genre
6oJ6le65B3SEqPwMRNXWjY,higher love,kygo;whitney houston,edm
4DpNNXFMMxQEKl7r0ykkWA,play date,melanie martinez,electro
2nC3QhMI9reBIOWutbU3Tj,moral of the story,ashe,electro
2Fxmhks0bxGSBdJ92vM42m,bad guy,billie eilish,electro
2qxmye6gAegTMjLKEBoR3d,let me down slowly,alec benjamin,electro
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,billie eilish,electro
1iQDltZqI7BXnHrFy4Qo1k,trampoline (with zayn),shaed;zayn,electro
2ez6qvOTHKeI3ss80NGqnI,trampoline (with zayn),shaed;zayn,electro
4a6q8CR2hzLk2plDkSxkfD,i.f.l.y.,bazzi,electro
09PGubKAMryhOWv1LHpCYz,"fuck, i'm lonely (with anne-marie)",lauv;anne-marie,electro
3XF5xLJHOQQRbWya6hBp7d,you should see me in a crown,billie eilish,electro
54bFM56PmE4YLRnqpW6Tha,therefore i am,billie eilish,electro
0AUvWawuP0ibk4SQ3sIZjk,daisy,ashnikko,electro
4SSnFejRGlZikf02HLewEF,bury a friend,billie eilish,electro
3uc8AGNL0KbvISIrjnfRvN,mean it,lauv;lany,electro
6IRdLKIyS4p7XNiP8r6rsx,all the good girls go to hell,billie eilish,electro
58AGoOGbwsQMhBbH0eFLRR,over now (with the weeknd),calvin harris;the weeknd,electro
3Fj47GNK2kUF0uaEDgXLaD,wish you were gay,billie eilish,electro
2ufmtcIFdFpuUYBPXK5f67,graveyard,halsey,electro
7lidXGPXPYLNThITAOTlkK,you should be sad,halsey,electro
1eyek0KJEh2v5HQ9uQSybb,modern loneliness,lauv,electro
2ygvZOXrIeVL4xZmAWJT2C,my future,billie eilish,electro
7m9OqQk4RVRkw9JJdeAw96,jocelyn flores,xxxtentacion,emo
7AFASza1mXqntmGtbxXprO,changes,xxxtentacion,emo
3ee8Jmje8o58CHK66QrVC2,sad!,xxxtentacion,emo
0JP9xo3adEtGSdUEISiszL,moonlight,xxxtentacion,emo
4aOOExMBUyxKnEYb39SrTg,riot,xxxtentacion,emo
6EfBMJQwe2xLgldra6DaYp,yaya,6ix9ine,emo
7yq4Qj7cqayVTp3FF9CWbm,riptide,vance joy,folk
4zGtfOglDBfVUypabBwIjQ,desce pro play (pa pa pa),zaac;anitta;tyga,funk
61ZM92T2zaXIVsqncThQzC,in your eyes (feat. alida),robin schulz;alida,german
2zYzyRzz6pRmhPzyfMEC8s,highway to hell,ac/dc,hard-rock
4bHsxqR3GMrXTxEPLuK5ue,don't stop believin',journey,hard-rock
5DqdesEfbRyOlSS3Tf6c29,it's you,ali gatie,hip-hop
6DCZcSspjsKoFjzjrWoCdn,god's plan,drake,hip-hop
0F7FA14euOIX8KcbEturGH,old town road,lil nas x,hip-hop
7FIWs0pqAYbP91WWM0vlTQ,godzilla (feat. juice wrld),eminem;juice wrld,hip-hop
3eekarcy7kvN4yt5ZFzltW,highest in the room,travis scott,hip-hop
2YpeDb67231RjR0MgVLzsG,old town road - remix,lil nas x;billy ray cyrus,hip-hop
6gBFPUFcJLzWGx4lenP6h2,goosebumps,travis scott,hip-hop
27OeeYzk6klgBh83TSvGMA,without you,the kid laroi,hip-hop
2xLMifQCjDGFmkHkpNLD9h,sicko mode,travis scott,hip-hop
1v7L65Lzy0j0vdpRjJewt1,"lose yourself - from ""8 mile"" soundtrack",eminem,hip-hop
62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. emilee),surf mesa;emilee,house
20McUFi8KCIVdNDLrkTDuZ,goosebumps,hvme,house
24Yi9hE78yPEbZ4kxyoXAI,roses - imanbek remix,saint jhn;imanbek,house
7wBJfHzpfI3032CSD7CE2m,stargazing,travis scott,house
7lAK3oHbfEnvUQWosrMMpR,yosemite,travis scott,house
6xcJyGpfZbuuiequtnlKt4,butterfly effect,travis scott,house
4jVBIpuOiMj1crqd8LoCrJ,franchise (feat. young thug & m.i.a.),travis scott;young thug;m.i.a.,house
2MlOUXmcofMackX3bxfSwi,jerusalema (feat. nomcebo zikode),master kg;nomcebo zikode,house
7h0d2h0fUmzbs7zeFigJPn,highest in the room (feat. rosalía & lil baby) - remix,travis scott;rosalía;lil baby,house
5hff5RQeE84pznOt8WEWeO,birthday,anne-marie,house
